id_str,created_at,text,user.screen_name,user.lang,coordinates.coordinates
"1007777943479713792","Sat Jun 16 00:12:39 +0000 2018","Future &amp; drake world wide period lil baby ain’t nobody frfr he just got some good ass music he ain’t got more than… https://t.co/5cfCvJjMKt","callmelaurennnn","en",
"1007777944117350405","Sat Jun 16 00:12:40 +0000 2018","RT @whaatnoww: My future wife probs out there taking her make up off after a long day of being peng and enjoying herself. Dw boo, we can ce…","Iamzahree","en",
"1007777944121430016","Sat Jun 16 00:12:40 +0000 2018","RT @xalexiskylex: A hard pill to swallow:\nPeople are allowed to move on after a long term relationship. They’re allowed to be happy with so…","babyxri","en",
"1007777944255770625","Sat Jun 16 00:12:40 +0000 2018","RT @7im: we've got a kafkaesque nightmare in the making. Parents held by DHS; kids sent by HHS into foster homes in the interior. No system…","hayzawa","en",
"1007777944574545920","Sat Jun 16 00:12:40 +0000 2018","U.S. textile manufacturers are pleased that textile machinery is removed from immediate #Section301 tariff list, bu… https://t.co/95PnhvGAcI","TradeNewsCentre","en",
"1007777945253920768","Sat Jun 16 00:12:40 +0000 2018","Giving your children responsibilities around the house is good for their future. https://t.co/f7KzJ4vDGg https://t.co/0ykZOgk4A7","scoutmortgage","en",
"1007777947103776768","Sat Jun 16 00:12:40 +0000 2018","RT @kbvnks_: this the type of ring ima need to get my wife so she can stunt on everyone https://t.co/QNdJpvYB2X","xoxaribearxox","en",
"1007777947716112389","Sat Jun 16 00:12:41 +0000 2018","RT @joshhollidayosu: Future Fridays... https://t.co/xKEYUcQL7O","pokesfan02","en",
"1007777947426664453","Sat Jun 16 00:12:40 +0000 2018","@EternalHokageYT I know this isn’t an option but in the future would you be willing to make a Sakura analysis video… https://t.co/gd5FpUaLOu","ssj_kakashi","en",
"1007777947724468224","Sat Jun 16 00:12:41 +0000 2018","She sees my future! https://t.co/PfugTUkKJ6","erikbauer","en",
"1007777947879641090","Sat Jun 16 00:12:41 +0000 2018","RT @CheriJacobus: A lone Senator can start a filibuster to cover all the Trump scandals, can do it without permission from anyone &amp; it won'…","nancywriteon","en",
"1007777948227768321","Sat Jun 16 00:12:41 +0000 2018","RT @Hannabanana_8: Must be following me to enter\n\nRT to win a onesie or toddler tee of your choice from my shop along with an exclusive 15%…","Ohaiitshailey","en",
"1007777952052936706","Sat Jun 16 00:12:42 +0000 2018","I’m leaving this here so I can be right in the future @Rob_Lynch3 #JohnnyLasagna https://t.co/f3Bm36NzRn","MikeIsola","en",
"1007777953147584512","Sat Jun 16 00:12:42 +0000 2018","RT @Meligoose: Me and my future boo will for sure be at the 2026 World Cup matches","ElyyChaavez","en",
"1007777954661666817","Sat Jun 16 00:12:42 +0000 2018","RT @TheAnnyeongOppa: sana magka kdrama sila in the future https://t.co/mh392D2d8t","maysadile","en",
"1007777954993090560","Sat Jun 16 00:12:42 +0000 2018","RT @darth: well at least scott pruitt is only grifting while at the EPA its not like he is also taking shameless advantage of his position…","sumaschill","en",
"1007777955702067201","Sat Jun 16 00:12:42 +0000 2018","RT @ChristineArdigo: He Ignites a Fire Inside Her &amp; She Second Guesses her Boring Future as a Lawyer's Wife\nhttps://t.co/8bpHrZTONv\n#pdf1 h…","ChristineArdigo","en",
"1007777956746416129","Sat Jun 16 00:12:43 +0000 2018","RT @BlockCATio: 📣 The June 15 Community Update is LIVE! We're redesigning our dApp, Tabby Pay, to be a bit more consistent with our future…","Mias_cat","en",
"1007777958059180033","Sat Jun 16 00:12:43 +0000 2018","RT @RealCandaceO: Turning Point USA is like Apple in the 1970’s. \nWe are the conservative start-up. \n\nWe are disrupting the status quo, and…","ThePatriot293","en",
"1007777957681610752","Sat Jun 16 00:12:43 +0000 2018","RT @singularixtae: EVEES SPECIAL GIVEAWAY : BLACKPINK LIGHTSTICK + ALBUM\n1st winner will receive lightstick + album \n2nd winner will receiv…","blinkcultt","en",
"1007777959220994048","Sat Jun 16 00:12:43 +0000 2018","Ok real life Biff from Back to the Future. Even you know that isn’t true. https://t.co/DjgAecfdtF","amyalbertcobb","en",
"1007777961368383490","Sat Jun 16 00:12:44 +0000 2018","RT @YukiNieve: ネイサン、\n\n3/30-4/1 日本SOIとThe Legends\n4/6-5/20 米SOI\n6/8-6/9 日本Heros&amp;Future\nイマココ\n7/6-7/8 日本DOI\n7/21 米Sun Valley\n7/28-7/29 日本The I…","tokocha1","ja",
"1007777961934811136","Sat Jun 16 00:12:44 +0000 2018","Lets party 24/7 on https://t.co/rPvrPqn1TA or https://t.co/wmUyahGsF1 Yousef - Beg (Hot Since 82 Future Mix) #Trance #Disco #ClubClassics","Goodmusicradio5","en-gb",
"1007777962358444033","Sat Jun 16 00:12:44 +0000 2018","I work hard so my future kid doesn’t have to sell detox tea on Instagram","sophsa","en",
"1007777966116556802","Sat Jun 16 00:12:45 +0000 2018","RT @xxuelie: 180615 socosmo weibo - #yixing for cosmopolitan july issue cover\n\ndoesn't matter if it's the past yixing, present yixing or fu…","littlexings","es",
"1007777968800714752","Sat Jun 16 00:12:46 +0000 2018","RT @sr_simone: If they really wanted to fix voting, they should institute same day registration. The wave of the future!! https://t.co/8a3e…","adjordan","en",
